dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
nl_nissan_62070212,Nissan,ABD NISSAN DRACHTEN,,,"Omloop 56, 9201 CC DRACHTEN",Omloop 56,,9201 CC,DRACHTEN,NL,0512-571671,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071211,Nissan,BOCHANE NISSAN ALMERE,,,"Palmpolstraat 2, 1327 CE ALMERE",Palmpolstraat 2,,1327 CE,ALMERE,NL,036-5483300,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070511,Nissan,BOCHANE NISSAN ARNHEM,,,"Veldoven 7, 6826 TS ARNHEM",Veldoven 7,,6826 TS,ARNHEM,NL,026-3845700,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070548,Nissan,BOCHANE NISSAN EDE,,,"Galvanistraat 111, 6716 AE EDE",Galvanistraat 111,,6716 AE,EDE,NL,0318-648355,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070501,Nissan,BOCHANE NISSAN NIJMEGEN,,,"Winkelsteegseweg 150, 6534 AR NIJMEGEN",Winkelsteegseweg 150,,6534 AR,NIJMEGEN,NL,024-3591340,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071062,Nissan,BOCHANE TILBURG,,,"Kapitein Hatterasstraat 11, 5015 BB TILBURG",Kapitein Hatterasstraat 11,,5015 BB,TILBURG,NL,013-5443330,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071130,Nissan,HEDIN AUTOMOTIVE NISSAN SITTARD,,,"Bergerweg 71, 6135 KD SITTARD",Bergerweg 71,,6135 KD,SITTARD,NL,046-4519664,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071131,Nissan,HEDIN AUTOMOTIVE NISSAN VENLO,,,"Groot Bollerweg 24, 5928 NS VENLO",Groot Bollerweg 24,,5928 NS,VENLO,NL,077-3553800,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071074,Nissan,HEDIN AUTOMOTIVE NISSAN WAALRE,,,"Onze Lieve Vrouwedijk 43a, 5581 VX WAALRE",Onze Lieve Vrouwedijk 43a,,5581 VX,WAALRE,NL,040-2990818,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070555,Nissan,NISSAN AUTO HERWERS B.V. APELDOORN,,,"Laan van de Dierenriem 29, 7324 AB APELDOORN",Laan van de Dierenriem 29,,7324 AB,APELDOORN,NL,055-3696212,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070526,Nissan,NISSAN AUTO HERWERS HENGELO (GLD.),,,"Kruisbergseweg 8, 7255 AE HENGELO (GLD.)",Kruisbergseweg 8,,7255 AE,HENGELO (GLD.),NL,0575-462244,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070503,Nissan,NISSAN AUTO HERWERS ZEVENAAR,,,"Kelvinstraat 2, 6902 PC ZEVENAAR",Kelvinstraat 2,,6902 PC,ZEVENAAR,NL,0316-523523,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071128,Nissan,NISSAN AUTO NIROC ROERMOND,,,"Jacob Romenweg 8, 6042 EZ ROERMOND",Jacob Romenweg 8,,6042 EZ,ROERMOND,NL,0475-395340,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071132,Nissan,NISSAN AUTO NIROC WEERT,,,"Roermondseweg 87, 6004 AR WEERT",Roermondseweg 87,,6004 AR,WEERT,NL,0495-580700,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070916,Nissan,NISSAN AUTO STURM B.V. GOES,,,"Amundsenweg 39, 4462 GP GOES",Amundsenweg 39,,4462 GP,GOES,NL,0113-602000,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070908,Nissan,NISSAN AUTO STURM B.V. MIDDELBURG,,,"Noordweg 467, 4333 KE MIDDELBURG",Noordweg 467,,4333 KE,MIDDELBURG,NL,0118-612042,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070837,Nissan,NISSAN AUTOBEDRIJF CAS LAMENS B.V.,,,"Rodenrijseweg 53-57, 2651 BN BERKEL EN RODENRIJS",Rodenrijseweg 53-57,,2651 BN,BERKEL EN RODENRIJS,NL,010-5112399,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070875,Nissan,NISSAN STAM WADDINXVEEN,,,"Zuidelijke Rondweg 3, 2741 RA WADDINXVEEN",Zuidelijke Rondweg 3,,2741 RA,WADDINXVEEN,NL,0182-622133,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070853,Nissan,NISSAN ZEEUW & ZEEUW WATERINGEN,,,"s-Gravenzandseweg 14, 2291 PE WATERINGEN",s-Gravenzandseweg 14,,2291 PE,WATERINGEN,NL,0174-638060,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070864,Nissan,NISSAN ZEEUW & ZEEUW ZOETERMEER,,,"Van Aalstlaan 10, 2722 RL ZOETERMEER",Van Aalstlaan 10,,2722 RL,ZOETERMEER,NL,079 - 7 50 50 25,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070429,Nissan,STEZA HENGELO,,,"Zilverstraat 5, 7554 NK HENGELO OV.",Zilverstraat 5,,7554 NK,HENGELO OV.,NL,074-2424158,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070434,Nissan,STEZA ZWOLLE,,,"Nikolaus Ottostraat 7a, 8013 NG ZWOLLE",Nikolaus Ottostraat 7a,,8013 NG,ZWOLLE,NL,038-4674540,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070335,Nissan,TERWOLDE NISSAN EMMEN,,,"Phileas Foggstraat 39, 7825 AK EMMEN",Phileas Foggstraat 39,,7825 AK,EMMEN,NL,0591-669090,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070142,Nissan,TERWOLDE NISSAN GRONINGEN,,,"Osloweg 147, 9723 BK GRONINGEN",Osloweg 147,,9723 BK,GRONINGEN,NL,050-5445711,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070749,Nissan,VAN MOSSEL NISSAN AMSTERDAM,,,"Schepenbergweg 43, 1105 AS AMSTERDAM ZUIDOOST",Schepenbergweg 43,,1105 AS,AMSTERDAM ZUIDOOST,NL,020-6910201,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070851,Nissan,VAN MOSSEL NISSAN DORDRECHT,,,"Mijlweg 71, 3316 BE DORDRECHT",Mijlweg 71,,3316 BE,DORDRECHT,NL,078-6552650,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070857,Nissan,VAN MOSSEL NISSAN GORINCHEM,,,"Edisonweg 7a, 4207 HE GORINCHEM",Edisonweg 7a,,4207 HE,GORINCHEM,NL,0183-643310,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070866,Nissan,VAN MOSSEL NISSAN ROTTERDAM,,,"Koperstraat 18, 3067 GL ROTTERDAM",Koperstraat 18,,3067 GL,ROTTERDAM,NL,010-4563333,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070547,Nissan,VAN MOSSEL NISSAN TIEL,,,"Stephensonstraat 1, 4004 JA TIEL",Stephensonstraat 1,,4004 JA,TIEL,NL,0344-621818,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070871,Nissan,VAN MOSSEL NISSAN VLAARDINGEN,,,"Hoogstad 101, 3131 KX VLAARDINGEN",Hoogstad 101,,3131 KX,VLAARDINGEN,NL,010-2488988,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070873,Nissan,ZEEUW & ZEEUW DEN HAAG,,,"Grote Beerstraat 35, 2516 BZ DEN HAAG",Grote Beerstraat 35,,2516 BZ,DEN HAAG,NL,070-7504604,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070833,Nissan,ZEEUW & ZEEUW NISSAN NOORDWIJK,,,"Keyserwey 75, 2201 CX NOORDWIJK",Keyserwey 75,,2201 CX,NOORDWIJK,NL,071-7600607,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070630,Nissan,NISSAN STAM UTRECHT,,,"Meijewetering 1, 3543 AA UTRECHT",Meijewetering 1,,3543 AA,UTRECHT,NL,030-2404306,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070631,Nissan,NISSAN STAM AMERSFOORT,,,"Gemini 1, 3824 MH AMERSFOORT",Gemini 1,,3824 MH,AMERSFOORT,NL,033-4635104,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
