dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
00254,Mazda,Kolenaar Enschede,52.21311,6.88785,"Cromhoffsbleekweg, 7513ET Enschede",Cromhoffsbleekweg,,7513ET,Enschede,NL,"{'original': '+31534321233', 'e164': '+31534321233', 'national': '053 432 1233', 'international': '+31 53 432 1233', 'default': '053 432 1233'}",enschede@kolenaar.nl,https://www.mazda.nl/dealer/kolenaar/home/?dealerid=00254,Car Repair | Car Sales,2
00267,Mazda,Hartgerink en Klomp,52.2929,4.6794,"Opaallaan, 2132XT Hoofddorp",Opaallaan,,2132XT,Hoofddorp,NL,"{'original': '+31235543838', 'e164': '+31235543838', 'national': '023 554 3838', 'international': '+31 23 554 3838', 'default': '023 554 3838'}",info@h-klomp.nl,https://www.mazda.nl/dealer/hartgerink-en-klomp/home/,Car Repair | Car Sales,2
00293,Mazda,Autobedrijf Misker,52.76955,6.92117,"Kapitein Nemostraat, 7821AC Emmen",Kapitein Nemostraat,,7821AC,Emmen,NL,"{'original': '+31591654789', 'e164': '+31591654789', 'national': '0591 654 789', 'international': '+31 591 654 789', 'default': '0591 654 789'}",info@misker.nl,https://www.mazda.nl/dealer/autobedrijf-misker/home/,Car Repair | Car Sales,2
00308,Mazda,Autohuis Eickhof,52.189,5.98138,"Rijnstraat, 7332 AX Apeldoorn",Rijnstraat,,7332 AX,Apeldoorn,NL,"{'original': '+31555212809', 'e164': '+31555212809', 'national': '055 521 2809', 'international': '+31 55 521 2809', 'default': '055 521 2809'}",info@eickhof.nl,https://www.mazda.nl/dealer/autohuis-eickhof/home/,Car Repair | Car Sales,2
00311,Mazda,Auto Haagstad,52.0685425,4.3349185,"Mercuriusweg, 2516 AW Den Haag",Mercuriusweg,,2516 AW,Den Haag,NL,"{'original': '+31703040110', 'e164': '+31703040110', 'national': '070 304 0110', 'international': '+31 70 304 0110', 'default': '070 304 0110'}",info@haagstad.nl,https://www.mazda.nl/dealer/auto-haagstad/home/,Car Repair | Car Sales,2
00316,Mazda,Autobedrijf Braber,52.03483,5.61933,"Dwarsweg, 6716 BJ Ede",Dwarsweg,,6716 BJ,Ede,NL,"{'original': '+31318616047', 'e164': '+31318616047', 'national': '0318 616 047', 'international': '+31 318 616 047', 'default': '0318 616 047'}",info@autobraber.nl,https://www.mazda.nl/dealer/autobedrijf-braber/home/,Car Repair | Car Sales,2
00329,Mazda,Louwman Breda,51.58298,4.74475,"Ettensebaan, 4814NN Breda",Ettensebaan,,4814NN,Breda,NL,"{'original': '+31765218962', 'e164': '+31765218962', 'national': '076 521 8962', 'international': '+31 76 521 8962', 'default': '076 521 8962'}",mazda.breda@louwman.nl,https://www.mazda.nl/dealer/louwman-mazda/home/?dealerid=00329,Car Repair | Car Sales,2
00332,Mazda,Autobedrijf Kreijne Amersfoort,52.19656,5.38853,"Maanlander, 3824MN Amersfoort",Maanlander,,3824MN,Amersfoort,NL,"{'original': '+31334564500', 'e164': '+31334564500', 'national': '033 456 4500', 'international': '+31 33 456 4500', 'default': '033 456 4500'}",info@kreijne.nl,https://www.mazda.nl/dealer/autobedrijf-kreijne/home/?dealerid=00332,Car Repair | Car Sales,2
00336,Mazda,Oostendorp Auto Uden,51.64758,5.64525,"Oude Udenseweg, 5405 PD Uden",Oude Udenseweg,,5405 PD,Uden,NL,"{'original': '+31413395000', 'e164': '+31413395000', 'national': '0413 395 000', 'international': '+31 413 395 000', 'default': '0413 395 000'}",info@mazda-uden.nl,https://www.mazda.nl/dealer/oostendorp-auto/home/?dealerid=00336,Car Repair | Car Sales,2
00339,Mazda,Mulder-Mazda-’t Groene Hart,52.022583,4.666864,"Kanaaldijk, 2741PA Waddinxveen",Kanaaldijk,,2741PA,Waddinxveen,NL,"{'original': '+31182606003', 'e164': '+31182606003', 'national': '0182 606 003', 'international': '+31 182 606 003', 'default': '0182 606 003'}",service@mulder-mazda.nl,https://www.mazda.nl/dealer/mulder-mazda/home/?dealerid=00339,Car Repair | Car Sales,2
00340,Mazda,Oostendorp Auto Nijmegen,51.84078,5.80576,"Microweg, 6545 CL Nijmegen",Microweg,,6545 CL,Nijmegen,NL,"{'original': '+31243031888', 'e164': '+31243031888', 'national': '024 303 1888', 'international': '+31 24 303 1888', 'default': '024 303 1888'}",info@mazda-nijmegen.nl,https://www.mazda.nl/dealer/oostendorp-auto/home/?dealerid=00340,Car Repair | Car Sales,2
00341,Mazda,Autostad Leiden,52.1564,4.44855976,"Stevenshofdreef, 2331DB Leiden",Stevenshofdreef,,2331DB,Leiden,NL,"{'original': '+31715315541', 'e164': '+31715315541', 'national': '071 531 5541', 'international': '+31 71 531 5541', 'default': '071 531 5541'}",info@autostad.nl,https://www.mazda.nl/dealer/autostad-leiden/home/,Car Repair | Car Sales,2
00342,Mazda,Autobedrijf Pierre Hoorn,52.6689377,5.063454,"De Factorij, 1689AK Zwaag",De Factorij,,1689AK,Zwaag,NL,"{'original': '+31229745219', 'e164': '+31229745219', 'national': '0229 745 219', 'international': '+31 229 745 219', 'default': '0229 745 219'}",verkoop@autopierre.nl,https://www.mazda.nl/dealer/autobedrijf-pierre/home/?dealerid=00342,Car Repair | Car Sales,2
00344,Mazda,Van Nieuwkerk Amsterdam,52.30734,4.93878,"Hoogoorddreef, 1101 BB Amsterdam",Hoogoorddreef,,1101 BB,Amsterdam,NL,"{'original': '+31204683341', 'e164': '+31204683341', 'national': '020 468 3341', 'international': '+31 20 468 3341', 'default': '020 468 3341'}",amsterdam@vannieuwkerk.nl,https://www.mazda.nl/dealer/van-nieuwkerk/home/,Car Repair | Car Sales,2
00349,Mazda,Oostendorp Auto Den Bosch,51.7078819,5.338436,"Balkweg, 5232 BV Den Bosch",Balkweg,,5232 BV,Den Bosch,NL,"{'original': '+31733033800', 'e164': '+31733033800', 'national': '073 303 3800', 'international': '+31 73 303 3800', 'default': '073 303 3800'}",info@mazda-denbosch.nl,https://www.mazda.nl/dealer/oostendorp-auto/home/?dealerid=00349,Car Repair | Car Sales,2
00351,Mazda,Mulder-Mazda Rotterdam-Zuid,51.86887,4.54949,"Kamerlingh Onnesweg, 2991XL Barendrecht",Kamerlingh Onnesweg,,2991XL,Barendrecht,NL,"{'original': '+31103116885', 'e164': '+31103116885', 'national': '010 311 6885', 'international': '+31 10 311 6885', 'default': '010 311 6885'}",service@mulder-mazda.nl,https://www.mazda.nl/dealer/mulder-mazda/home/?dealerid=00351	,Car Repair | Car Sales,2
00352,Mazda,Louwman Tilburg,51.58759,5.06734,"Kraaivenstraat, 5048 AB Tilburg",Kraaivenstraat,,5048 AB,Tilburg,NL,"{'original': '+31135959190', 'e164': '+31135959190', 'national': '013 595 9190', 'international': '+31 13 595 9190', 'default': '013 595 9190'}",mazda.tilburg@louwman.nl,https://www.mazda.nl/dealer/louwman-mazda/home/?dealerid=00352,Car Repair | Car Sales,2
00353,Mazda,Louwman Eindhoven,51.48184,5.45694,"Vaalserbergweg, 5628 CJ Eindhoven",Vaalserbergweg,,5628 CJ,Eindhoven,NL,"{'original': '+31402911800', 'e164': '+31402911800', 'national': '040 291 1800', 'international': '+31 40 291 1800', 'default': '040 291 1800'}",mazda.eindhoven@louwman.nl,https://www.mazda.nl/dealer/louwman-mazda/home/?dealerid=00353,Car Repair | Car Sales,2
00354,Mazda,Mengelers Sittard,50.99568,5.84119,"Bergerweg, 6135 KD Sittard",Bergerweg,,6135 KD,Sittard,NL,"{'original': '+31464521000', 'e164': '+31464521000', 'national': '046 452 1000', 'international': '+31 46 452 1000', 'default': '046 452 1000'}",info.mazda.sittard@mengelers.nl,https://www.mazda.nl/dealer/mengelers/home/?dealerid=00354,Car Repair | Car Sales,2
00355,Mazda,Mengelers Heerlen,50.90343,5.94658,"Breukerweg, 6412 ZL Heerlen",Breukerweg,,6412 ZL,Heerlen,NL,"{'original': '+31455218811', 'e164': '+31455218811', 'national': '045 521 8811', 'international': '+31 45 521 8811', 'default': '045 521 8811'}",info.mazda.heerlen@mengelers.nl,https://www.mazda.nl/dealer/mengelers/home/?dealerid=00355,Car Repair | Car Sales,2
00356,Mazda,Kolenaar Doetinchem,51.97201,6.268236,"Zaagmolenpad, 7008 AJ Doetinchem",Zaagmolenpad,,7008 AJ,Doetinchem,NL,"{'original': '+31314376343', 'e164': '+31314376343', 'national': '0314 376 343', 'international': '+31 314 376 343', 'default': '0314 376 343'}",doetinchem@kolenaar.nl,https://www.mazda.nl/dealer/kolenaar/home/?dealerid=00356,Car Repair | Car Sales,2
00357,Mazda,Mengelers Roermond,51.2094955,6.016703,"Jacob Romenweg, 6042 EZ Roermond",Jacob Romenweg,,6042 EZ,Roermond,NL,"{'original': '+31475346565', 'e164': '+31475346565', 'national': '0475 346 565', 'international': '+31 475 346 565', 'default': '0475 346 565'}",info.mazda.roermond@mengelers.nl,https://www.mazda.nl/dealer/mengelers/home/?dealerid=00357,Car Repair | Car Sales,2
00358,Mazda,Mulder-Mazda Rotterdam-West,51.9166451,4.33430243,"Hoogstad, 3131 KX Vlaardingen",Hoogstad,,3131 KX,Vlaardingen,NL,"{'original': '+31102488188', 'e164': '+31102488188', 'national': '010 248 8188', 'international': '+31 10 248 8188', 'default': '010 248 8188'}",Service@mulder-mazda.nl,https://www.mazda.nl/dealer/mulder-mazda/home/?dealerid=00358,Car Repair | Car Sales,2
00360,Mazda,Louwman Roosendaal,51.5425529,4.498437,"bredaseweg, 4705 RN Roosendaal",bredaseweg,,4705 RN,Roosendaal,NL,"{'original': '+31165575000', 'e164': '+31165575000', 'national': '0165 575 000', 'international': '+31 165 575 000', 'default': '0165 575 000'}",mazda.roosendaal@louwman.nl,https://www.mazda.nl/dealer/louwman-mazda/home/?dealerid=00360,Car Repair | Car Sales,2
00361,Mazda,Strikwerda Mazda Heerenveen,52.96352,5.89339256,"Businesspark Friesland-West, 8447SL Heerenveen",Businesspark Friesland-West,,8447SL,Heerenveen,NL,"{'original': '+31513701150', 'e164': '+31513701150', 'national': '0513 701 150', 'international': '+31 513 701 150', 'default': '0513 701 150'}",Mazda@strikwerda.nl,https://www.mazda.nl/dealer/strikwerda-mazda-heerenveen/home,Car Repair | Car Sales,2
00362,Mazda,Autobedrijf Kreijne Almere,52.4018478,5.26052761,"Zandzuigerstraat, 1333 HD Almere",Zandzuigerstraat,,1333 HD,Almere,NL,"{'original': '+31365494249', 'e164': '+31365494249', 'national': '036 549 4249', 'international': '+31 36 549 4249', 'default': '036 549 4249'}",Info@kreijne.nl,https://www.mazda.nl/dealer/autobedrijf-kreijne/home/?dealerid=00362,Car Repair | Car Sales,2
00363,Mazda,Autobedrijf Kreijne Zwolle,52.5243759,6.12274933,"Molenland, 8024 AL Zwolle",Molenland,,8024 AL,Zwolle,NL,"{'original': '+31384280300', 'e164': '+31384280300', 'national': '038 428 0300', 'international': '+31 38 428 0300', 'default': '038 428 0300'}",Info@kreijne.nl,https://www.mazda.nl/dealer/autobedrijf-kreijne/home/?dealerid=00363,Car Repair | Car Sales,2
00367,Mazda,Autobedrijf Pierre Purmerend,52.51756,4.98299932,"Van IJsendijkstraat, 1442 LB Purmerend",Van IJsendijkstraat,,1442 LB,Purmerend,NL,"{'original': '+31299748036', 'e164': '+31299748036', 'national': '0299 748 036', 'international': '+31 299 748 036', 'default': '0299 748 036'}",verkoop@autopierre.nl,,Car Repair | Car Sales,2
01021,Mazda,Tramper Goes,51.4865,3.87818,"Pearyweg, 4462GT Goes",Pearyweg,,4462GT,Goes,NL,"{'original': '+31113230768', 'e164': '+31113230768', 'national': '0113 230 768', 'international': '+31 113 230 768', 'default': '0113 230 768'}",info@trampergoes.nl,https://www.mazda.nl/dealer/tramper-goes/home/,Car Repair | Car Sales,2
01272,Mazda,Mulder-Mazda Rotterdam-Noord,51.96379,4.55409,"Martin Luther Kingweg, 3069EW Rotterdam",Martin Luther Kingweg,,3069EW,Rotterdam,NL,"{'original': '+31104214200', 'e164': '+31104214200', 'national': '010 421 4200', 'international': '+31 10 421 4200', 'default': '010 421 4200'}",sales@mulder-mazda.nl,https://www.mazda.nl/dealer/mulder-mazda/home/?dealerid=01272,Car Repair | Car Sales,2
